SECID,NAME,FACEVALUE,COUPONVALUE,COUPONPERIOD,MATDATE,YIELD,PRICE
SU29010RMFS4,SU29010RMFS4,1000.0,95.44,182,2034-12-06,0.0,106.19
SU29022RMFS9,SU29022RMFS9,1000.0,37.65,91,2033-07-20,0.0,1000.0
SU29022RMFS9,SU29022RMFS9,1000.0,37.65,91,2033-07-20,0.0,97.076
SU29024RMFS5,SU29024RMFS5,1000.0,37.65,91,2035-04-18,0.0,1000.0
SU29024RMFS5,SU29024RMFS5,1000.0,37.65,91,2035-04-18,0.0,95.933
SU46012RMFS9,SU46012RMFS9,950.0,72.69,364,2029-09-05,2.11,105.177
SU46020RMFS2,SU46020RMFS2,1000.0,34.41,182,2036-02-06,13.29,68.669
SU46023RMFS6,SU46023RMFS6,100.0,4.07,182,2026-07-23,7.45,100.164
SU52002RMFS1,SU52002RMFS1,1725.19,21.71,182,2028-02-02,8.46,90.651
SU52003RMFS9,SU52003RMFS9,1568.52,19.74,182,2030-07-17,7.45,82.781
SU52004RMFS7,SU52004RMFS7,1474.61,18.56,182,2032-03-17,7.47,77.207
SU52005RMFS4,SU52005RMFS4,1265.04,15.87,182,2033-05-11,0.0,1265.04
SU52005RMFS4,SU52005RMFS4,1265.04,15.87,182,2033-05-11,6.73,77.091
